OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__Oligoflexaceae,31.0,25.25,40.5,20.5,9.75,0.5,2.75
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhodomicrobiaceae,19.666666666666668,18.5,23.75,25.0,21.25,5.0,12.25
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae,40.0,29.0,14.0,10.25,15.25,7.5,8.5
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__uncultured,8.166666666666666,21.0,11.5,31.75,35.5,9.5,3.75
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured,16.166666666666664,15.25,42.75,24.0,16.5,4.0,2.5
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__AKYG1722,22.5,13.5,26.75,28.0,26.5,1.75,0.5
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Promicromonosporaceae,31.5,39.5,13.25,15.5,13.0,0.0,6.0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Pseudohongiellaceae,31.166666666666668,46.25,27.5,7.25,2.5,0.0,0.0
d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae,21.833333333333332,21.5,33.75,17.75,11.75,5.0,0.0
d__Bacteria; p__Elusimicrobia; c__Lineage IIb; o__uncultured bacterium; f__uncultured bacterium,9.333333333333332,20.5,49.75,13.0,15.5,2.25,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae,0.0,96.0,1.25,12.5,0.0,0.0,0.0
d__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Trueperaceae,16.0,23.5,15.5,48.5,4.25,1.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__37-13,17.5,10.5,33.25,27.25,15.25,2.75,1.25
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae,16.0,16.25,18.25,2.25,19.25,23.0,11.75
